x;y;x_m;y_m;cell_size_m;is_wall;device_id
0;0;0;0;0.5;1;wall
0;1;0;0.5;0.5;1;wall
0;2;0;1;0.5;1;wall
0;3;0;1.5;0.5;1;wall
0;4;0;2;0.5;1;wall
0;5;0;2.5;0.5;1;wall
0;6;0;3;0.5;1;wall
0;7;0;3.5;0.5;1;wall
0;8;0;4;0.5;1;wall
0;9;0;4.5;0.5;1;wall
0;10;0;5;0.5;1;wall
0;11;0;5.5;0.5;1;wall
0;12;0;6;0.5;1;wall
0;13;0;6.5;0.5;1;wall
1;0;0.5;0;0.5;1;wall
1;13;0.5;6.5;0.5;1;wall
2;0;1;0;0.5;1;wall
2;9;1;4.5;0.5;0;i010
2;13;1;6.5;0.5;1;wall
3;0;1.5;0;0.5;1;wall
3;4;1.5;2;0.5;0;i005
3;13;1.5;6.5;0.5;1;wall
4;0;2;0;0.5;1;wall
4;7;2;3.5;0.5;0;i005
4;13;2;6.5;0.5;1;wall
5;0;2.5;0;0.5;1;wall
5;13;2.5;6.5;0.5;1;wall
6;0;3;0;0.5;1;wall
6;13;3;6.5;0.5;1;wall
7;0;3.5;0;0.5;1;wall
7;1;3.5;0.5;0.5;1;wall
7;2;3.5;1;0.5;1;wall
7;3;3.5;1.5;0.5;1;wall
7;4;3.5;2;0.5;1;wall
7;5;3.5;2.5;0.5;1;wall
7;6;3.5;3;0.5;1;wall
7;7;3.5;3.5;0.5;1;wall
7;8;3.5;4;0.5;1;wall
7;9;3.5;4.5;0.5;1;wall
7;10;3.5;5;0.5;1;wall
7;11;3.5;5.5;0.5;1;wall
7;12;3.5;6;0.5;1;wall
7;13;3.5;6.5;0.5;1;wall
